                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.50938,                 0.2602,                0.85243,                0.98382,                0.97187,                0.99246,                0.87965,                0.58111,                0.26864,                0.87661,               0.007393,               0.007393,               0.007393
                     81,                0.50474,                0.25932,                0.85044,                0.99086,                0.97523,                0.99342,                0.88094,                0.58322,                0.26013,                  0.878,                0.00736,                0.00736,                0.00736
                     82,                0.50444,                0.26171,                0.85453,                0.99288,                0.97457,                 0.9933,                 0.8691,                0.61494,                0.28623,                0.89346,               0.007327,               0.007327,               0.007327
                     83,                 0.5072,                0.26129,                0.85373,                0.99169,                0.96503,                 0.9878,                 0.8652,                0.61617,                0.29867,                0.89923,               0.007294,               0.007294,               0.007294
                     84,                0.50547,                0.26005,                0.85493,                0.99239,                0.96204,                0.98897,                0.86481,                0.61289,                0.30449,                0.89268,               0.007261,               0.007261,               0.007261
                     85,                0.51208,                 0.2623,                0.85051,                0.99582,                0.95282,                 0.9841,                0.86401,                0.62178,                0.33534,                0.89209,               0.007228,               0.007228,               0.007228
                     86,                0.50923,                0.25798,                0.85441,                0.99872,                0.95704,                0.98836,                0.86523,                0.61821,                0.32578,                0.89631,               0.007195,               0.007195,               0.007195
                     87,                0.50524,                0.25691,                 0.8547,                 0.9949,                0.97477,                0.99187,                0.86387,                 0.6322,                0.30361,                 0.9016,               0.007162,               0.007162,               0.007162
                     88,                0.50436,                0.25556,                0.85364,                 0.9939,                0.97736,                0.99377,                0.86923,                0.61639,                0.28882,                0.89748,               0.007129,               0.007129,               0.007129
                     89,                0.50543,                0.25973,                0.85036,                0.99493,                0.98058,                0.99384,                0.86769,                0.62506,                0.28917,                0.89747,               0.007096,               0.007096,               0.007096
                     90,                0.50295,                0.25908,                 0.8548,                0.99866,                0.96603,                0.99077,                0.86605,                0.62107,                0.29744,                0.90558,               0.007063,               0.007063,               0.007063
                     91,                0.50033,                0.25556,                0.85619,                0.99218,                0.97403,                0.99352,                0.87054,                0.61865,                0.28448,                0.90839,                0.00703,                0.00703,                0.00703
                     92,                0.50361,                0.25475,                0.85761,                0.99719,                0.97702,                0.99398,                0.87612,                0.61519,                0.29845,                0.90521,               0.006997,               0.006997,               0.006997
                     93,                0.50552,                0.25791,                0.85622,                0.99898,                 0.9808,                0.99374,                0.86808,                0.62212,                 0.2919,                0.90311,               0.006964,               0.006964,               0.006964
                     94,                 0.4991,                 0.2539,                0.85181,                0.99695,                 0.9794,                0.99191,                 0.8678,                 0.6197,                0.29222,                0.89771,               0.006931,               0.006931,               0.006931
                     95,                0.50824,                  0.257,                0.85946,                0.99692,                   0.97,                 0.9911,                0.86499,                0.63109,                0.30021,                0.90832,               0.006898,               0.006898,               0.006898
                     96,                0.50183,                0.25858,                0.85121,                 0.9919,                0.97843,                0.99362,                 0.8642,                0.64357,                0.29419,                0.90967,               0.006865,               0.006865,               0.006865
                     97,                0.50611,                0.25691,                0.85062,                0.99595,                0.98298,                0.99388,                0.87395,                 0.6203,                0.28396,                 0.8946,               0.006832,               0.006832,               0.006832
                     98,                0.50184,                0.25482,                0.85739,                0.99498,                0.98202,                0.99385,                0.87356,                0.61436,                0.28875,                0.90082,               0.006799,               0.006799,               0.006799
                     99,                0.50116,                0.25166,                0.85458,                0.99592,                0.97615,                0.99373,                0.87501,                 0.6056,                0.27888,                0.89172,               0.006766,               0.006766,               0.006766
                    100,                0.50103,                0.25017,                0.85152,                0.99285,                0.97147,                0.99152,                0.87282,                0.61223,                0.29037,                0.89078,               0.006733,               0.006733,               0.006733
